Index,Upazila_or_Thana,District,Area_Zip_Code,Latitude,Longitude,Operator,Active_Network_Available,Network_Level,Satisfaction_Score,Real_Time_Experience
5688,Bagerhat Sadar,Bagerhat,9300,22.66666667,89.8,Robi-Airtel,4G,Moderate,6,5.5
5689,Chitalmari,Bagerhat,9360,22.78472222,89.86861111,Robi-Airtel,4G,Low,3,3.5
5690,Fakirhat,Bagerhat,9370,22.76888889,89.70138889,Robi-Airtel,4G,Moderate,6,5.5
5691,Kachua,Bagerhat,9310,22.65,89.88333333,Robi-Airtel,4G,Low,3,4.5
5692,Mollahat,Bagerhat,9380,22.9417,89.7,Robi-Airtel,4G,Moderate,6,6
5693,Mongla,Bagerhat,9350,22.4833,89.6083,Robi-Airtel,4G,Moderate,6,7
5694,Morrelganj,Bagerhat,9320,22.45,89.8583,Robi-Airtel,4G,Low,3,4.5
5695,Rampal,Bagerhat,9340,22.5667,89.6639,Robi-Airtel,4G,Moderate,6,5.5
5696,Sharankhola,Bagerhat,9330,22.2917,89.7917,Robi-Airtel,4G,Low,3,4
5697,Alamdanga,Chuadanga,7210,23.7583,88.95,Robi-Airtel,4G,Moderate,6,6
5698,Chuadanga Sadar,Chuadanga,7200,23.6417,88.8583,Robi-Airtel,4G,Moderate,6,6.5
5699,Damurhuda,Chuadanga,7220,23.6167,88.7833,Robi-Airtel,4G,Low,3,4
5700,Jibannagar,Chuadanga,7230,23.4167,88.8208,Robi-Airtel,4G,Low,3,5
5701,Abhoynagar,Jashore,7460,23.01666667,89.43333333,Robi-Airtel,4G,Moderate,6,6.5
5702,Bagherpara,Jashore,7470,23.2167,89.35,Robi-Airtel,4G,Moderate,6,5.5
5703,Chowgacha,Jashore,7410,23.2667,89.025,Robi-Airtel,4G,Low,3,3.5
5704,Jashore Sadar,Jashore,7400,23.1681,89.2042,Robi-Airtel,4G,Good,10,8.5
5705,Jhikargacha,Jashore,7420,23.1,89.1333,Robi-Airtel,4G,Moderate,6,6.5
5706,Keshabpur,Jashore,7450,22.9042,89.5667,Robi-Airtel,4G,Moderate,6,5.5
5707,Monirampur,Jashore,7440,23.0167,89.2333,Robi-Airtel,4G,Low,3,4.5
5708,Sarsha,Jashore,7430,23.0744,88.8667,Robi-Airtel,4G,Moderate,6,5.5
5709,Harinakunda,Jhenaidah,7310,23.6417,89.05,Robi-Airtel,4G,Moderate,6,5.5
5710,Jhenaidah Sadar,Jhenaidah,7300,23.5417,89.1833,Robi-Airtel,4G,Moderate,6,7
5711,Kaliganj,Jhenaidah,7350,23.4139,89.1333,Robi-Airtel,4G,Moderate,6,5.5
5712,Kotchandpur,Jhenaidah,7330,23.4,89.0167,Robi-Airtel,4G,Low,3,5
5713,Moheshpur,Jhenaidah,7340,23.35,88.9125,Robi-Airtel,4G,Low,3,4.5
5714,Shailkupa,Jhenaidah,7320,23.6917,89.25,Robi-Airtel,4G,Low,3,2.5
5715,Batiaghata,Khulna,9260,22.7417,89.5167,Robi-Airtel,4G,Low,3,5
5716,Dacope,Khulna,9270,22.5722,89.5111,Robi-Airtel,4G,Low,3,5
5717,Dighalia,Khulna,9220,22.9083,89.5333,Robi-Airtel,4G,Moderate,6,6
5718,Dumuria,Khulna,9250,22.8083,89.425,Robi-Airtel,4G,Moderate,6,6
5719,Koira,Khulna,9290,22.3417,89.3,Robi-Airtel,4G,Low,3,4.5
5720,Paikgacha,Khulna,9280,22.5889,89.3361,Robi-Airtel,4G,Low,3,5
5721,Phultala,Khulna,9210,22.975,89.4583,Robi-Airtel,4G,Moderate,6,5
5722,Rupsa,Khulna,9240,22.8333,89.5833,Robi-Airtel,4G,Moderate,6,5.5
5723,Terokhada,Khulna,9230,22.9417,89.6694,Robi-Airtel,4G,Low,3,4.5
5724,Bheramara,Kushtia,7040,24.0167,88.9917,Robi-Airtel,4G,Moderate,6,6.5
5725,Daulatpur,Kushtia,7050,24.0014,88.875,Robi-Airtel,4G,Moderate,6,5.5
5726,Khoksha,Kushtia,7020,23.8,89.2833,Robi-Airtel,4G,Moderate,6,5.5
5727,Kumarkhali,Kushtia,7010,23.8564724,89.114823,Robi-Airtel,4G,Moderate,6,6
5728,Kushtia Sadar,Kushtia,7000,23.9,89.1333,Robi-Airtel,4G,Good,10,8.5
5729,Mirpur,Kushtia,7030,23.9333,89,Robi-Airtel,4G,Moderate,6,6.5
5730,Magura Sadar,Magura,7600,23.4875,89.4208,Robi-Airtel,4G,Moderate,6,7
5731,Mohammadpur,Magura,7630,23.4,89.56,Robi-Airtel,4G,Low,3,4
5732,Salikha,Magura,7620,23.34,89.36,Robi-Airtel,4G,Low,3,4.5
5733,Sreepur,Magura,7610,23.6,89.3875,Robi-Airtel,4G,Low,3,4.5
5734,Gangni,Meherpur,7110,23.81666667,88.755,Robi-Airtel,4G,Moderate,6,6
5735,Meherpur Sadar,Meherpur,7100,23.775,88.6417,Robi-Airtel,4G,Moderate,6,6.5
5736,Mujibnagar,Meherpur,7102,23.65003,88.59804,Robi-Airtel,4G,Low,3,4.5
5737,Kalia,Narail,7520,23.0333,89.6167,Robi-Airtel,4G,Low,3,5
5738,Lohagara,Narail,7510,23.1833,89.6625,Robi-Airtel,4G,Moderate,6,5.5
5739,Narail Sadar,Narail,7500,23.175,89.505,Robi-Airtel,4G,Good,10,7.5
5740,Assasuni,Satkhira,9460,22.55,89.1681,Robi-Airtel,4G,Low,3,4
5741,Debhata,Satkhira,9430,22.5667,88.9667,Robi-Airtel,4G,Low,3,4.5
5742,Kalaroa,Satkhira,9410,22.59,89.01,Robi-Airtel,4G,Low,3,5
5743,Kaliganj,Satkhira,9440,22.45,89.0417,Robi-Airtel,4G,Moderate,6,5.5
5744,Satkhira Sadar,Satkhira,9400,22.7167,89.075,Robi-Airtel,4G,Moderate,6,6.5
5745,Shyamnagar,Satkhira,9450,22.3306,89.1028,Robi-Airtel,4G,Moderate,6,5.5
5746,Tala,Satkhira,9420,22.75,89.25,Robi-Airtel,4G,Low,3,4
5747,Bakshiganj,Jamalpur,2140,25.225,89.875,Robi-Airtel,4G,Low,3,4
5748,Dewanganj,Jamalpur,2030,25.1417,89.7833,Robi-Airtel,4G,Moderate,6,5.5
5749,Islampur,Jamalpur,2020,25.0833,89.7917,Robi-Airtel,4G,Low,3,4.5
5750,Jamalpur Sadar,Jamalpur,2000,24.9167,89.9583,Robi-Airtel,4G,Good,10,7.5
5751,Madarganj,Jamalpur,2040,24.8917,89.75,Robi-Airtel,4G,Moderate,6,5.5
5752,Melendah,Jamalpur,2010,24.9667,89.8333,Robi-Airtel,4G,Low,3,5
5753,Sarishabari,Jamalpur,2050,24.7417,89.8333,Robi-Airtel,4G,Low,3,5
5754,Bhaluka,Mymensingh,2240,24.375,90.37833333,Robi-Airtel,4G,Moderate,6,7.5
5755,Dhobaura,Mymensingh,2416,25.0917,90.5333,Robi-Airtel,4G,Low,3,5.5
5756,Fulbaria,Mymensingh,2216,24.6333,90.2667,Robi-Airtel,4G,Moderate,6,5.5
5757,Gaffargaon,Mymensingh,2230,24.4167,90.55,Robi-Airtel,4G,Moderate,6,6
5758,Gouripur,Mymensingh,2270,24.75833333,90.575,Robi-Airtel,4G,Moderate,6,6
5759,Haluaghat,Mymensingh,2260,25.125,90.35,Robi-Airtel,4G,Low,3,5
5760,Ishwarganj,Mymensingh,2280,24.6833,90.625,Robi-Airtel,4G,Moderate,6,6
5761,Muktagacha,Mymensingh,2210,24.7583,90.2667,Robi-Airtel,4G,Moderate,6,7
5762,Mymensingh Sadar,Mymensingh,2220,24.75,90.4167,Robi-Airtel,4G,Good,10,8.5
5763,Nandail,Mymensingh,2290,24.5667,90.6833,Robi-Airtel,4G,Low,3,4.5
5764,Phulpur,Mymensingh,2250,24.95,90.36166667,Robi-Airtel,4G,Moderate,6,5.5
5765,Tarakanda,Mymensingh,2252,24.85,90.43333333,Robi-Airtel,4G,Moderate,6,5.5
5766,Trishal,Mymensingh,2220,24.575,90.39166667,Robi-Airtel,4G,Moderate,6,6.5
5767,Atpara,Netrakona,2470,24.8083,90.8667,Robi-Airtel,4G,Low,3,3
5768,Barhatta,Netrakona,2440,24.9,90.875,Robi-Airtel,4G,Low,3,4
5769,Durgapur,Netrakona,2420,25.125,90.6875,Robi-Airtel,4G,Low,3,4.5
5770,Kalmakanda,Netrakona,2430,25.0833,90.8917,Robi-Airtel,4G,Low,3,4.5
5771,Kendua,Netrakona,2480,24.65,90.8417,Robi-Airtel,4G,Moderate,6,5.5
5772,Khaliajuri,Netrakona,2460,24.7,91.125,Robi-Airtel,4G,Low,3,3
5773,Madan,Netrakona,2490,24.7167,90.9667,Robi-Airtel,4G,Low,3,4
5774,Mohanganj,Netrakona,2446,24.8667,90.9667,Robi-Airtel,4G,Low,3,3
5775,Netrakona Sadar,Netrakona,2400,24.875,90.7333,Robi-Airtel,4G,Moderate,6,6.5
5776,Purbadhala,Netrakona,2410,24.9333,90.6028,Robi-Airtel,4G,Low,3,4.5
5777,Jhenaigati,Sherpur,2120,25.1833,90.0667,Robi-Airtel,4G,Low,3,3
5778,Nakla,Sherpur,2150,24.98333333,90.18333333,Robi-Airtel,4G,Low,3,5
5779,Nalitabari,Sherpur,2110,25.08333333,90.18527778,Robi-Airtel,4G,Moderate,6,5.5
5780,Sherpur Sadar,Sherpur,2100,25,90.0167,Robi-Airtel,4G,Moderate,6,6.5
5781,Sreebordi,Sherpur,2130,25.18,89.95,Robi-Airtel,4G,Low,3,5
5782,Adamdighi,Bogura,5890,24.81666667,89,Robi-Airtel,4G,Moderate,6,5.5
5783,Bogura Sadar,Bogura,5800,24.8417,89.375,Robi-Airtel,4G,Good,10,8
5784,Dhunot,Bogura,5850,24.6833,89.5375,Robi-Airtel,4G,Low,3,3.5
5785,Dhupchancia,Bogura,5880,24.875,89.17,Robi-Airtel,4G,Moderate,6,6
5786,Gabtali,Bogura,5820,24.875,89.45,Robi-Airtel,4G,Low,3,4.5
5787,Kahaloo,Bogura,5870,24.8167,89.2667,Robi-Airtel,4G,Low,3,5
5788,Nandigram,Bogura,5860,24.6611,89.2333,Robi-Airtel,4G,Moderate,6,5.5
5789,Sariakandi,Bogura,5830,24.8833,89.5667,Robi-Airtel,4G,Low,3,5
5790,Shajahanpur,Bogura,5801,24.7604,89.3606,Robi-Airtel,4G,Moderate,6,7
5791,Sherpur,Bogura,5840,24.66666667,89.41666667,Robi-Airtel,4G,Moderate,6,7
5792,Shibganj,Bogura,5810,25.0167,89.3167,Robi-Airtel,4G,Moderate,6,5.5
5793,Sonatala,Bogura,5826,25.0333,89.4917,Robi-Airtel,4G,Low,3,4
5794,Bholahat,Chapainawabganj,6330,24.89,88.22,Robi-Airtel,4G,Very Low,1,2
5795,Gomostapur,Chapainawabganj,6320,24.86,88.37,Robi-Airtel,4G,Low,3,3.5
5796,Nachol,Chapainawabganj,6310,24.73,88.42,Robi-Airtel,4G,Low,3,5
5797,Nawabganj Sadar,Chapainawabganj,6300,24.6,88.2667,Robi-Airtel,4G,Moderate,6,6.5
5798,Shibganj,Chapainawabganj,6340,24.6833,88.1667,Robi-Airtel,4G,Moderate,6,5.5
5799,Akkelpur,Joypurhat,5940,24.975,89.02,Robi-Airtel,4G,Low,3,4
5800,Joypurhat Sadar,Joypurhat,5900,25.1,89.03333333,Robi-Airtel,4G,Moderate,6,6.5
5801,Kalai,Joypurhat,5930,25.0583,89.1833,Robi-Airtel,4G,Low,3,5
5802,Khetlal,Joypurhat,5920,25.025,89.13333333,Robi-Airtel,4G,Low,3,4.5
5803,Panchbibi,Joypurhat,5910,25.195,89.02,Robi-Airtel,4G,Low,3,5
5804,Atrai,Naogaon,6596,24.61333333,88.97,Robi-Airtel,4G,Moderate,6,5.5
5805,Badalgachi,Naogaon,6570,24.96666667,88.9,Robi-Airtel,4G,Moderate,6,6
5806,Dhamoirhat,Naogaon,6580,25.14,88.85,Robi-Airtel,4G,Low,3,4.5
5807,Manda,Naogaon,6510,24.775,88.67,Robi-Airtel,4G,Low,3,4
5808,Mohadevpur,Naogaon,6530,24.9183,88.7483,Robi-Airtel,4G,Low,3,4.5
5809,Naogaon Sadar,Naogaon,6500,24.805,88.95,Robi-Airtel,4G,Moderate,6,7
5810,Niamatpur,Naogaon,6520,24.83,88.55,Robi-Airtel,4G,Moderate,6,5.5
5811,Patnitala,Naogaon,6540,25.05,88.7333,Robi-Airtel,4G,Low,3,5
5812,Porsha,Naogaon,6550,25.025,88.4833,Robi-Airtel,4G,Low,3,4
5813,Raninagar,Naogaon,6590,24.7333,88.975,Robi-Airtel,4G,Moderate,6,6
5814,Sapahar,Naogaon,6560,25.125,88.58166667,Robi-Airtel,4G,Low,3,5
5815,Bagatipara,Natore,6410,24.33,88.945,Robi-Airtel,4G,Low,3,4.5
5816,Baraigram,Natore,6430,24.3083,89.1708,Robi-Airtel,4G,Moderate,6,5.5
5817,Gurudaspur,Natore,6440,24.3667,89.25,Robi-Airtel,4G,Low,3,4.5
5818,Lalpur,Natore,6420,24.1833,88.975,Robi-Airtel,4G,Low,3,5
5819,Naldanga,Natore,6403,24.4969,88.9605,Robi-Airtel,4G,Low,3,4.5
5820,Natore Sadar,Natore,6400,24.4139,88.93,Robi-Airtel,4G,Good,10,7.5
5821,Singra,Natore,6450,24.5,89.13333333,Robi-Airtel,4G,Low,3,3.5
5822,Atghoria,Pabna,6610,24.1333,89.25,Robi-Airtel,4G,Low,3,3.5
5823,Bera,Pabna,6680,24.0667,89.625,Robi-Airtel,4G,Low,3,5
5824,Bhangura,Pabna,6640,24.225,89.4,Robi-Airtel,4G,Low,3,5
5825,Chatmohar,Pabna,6630,24.23,89.3,Robi-Airtel,4G,Low,3,4.5
5826,Faridpur,Pabna,6650,24.1583,89.4528,Robi-Airtel,4G,Low,3,3
5827,Ishwardi,Pabna,6620,24.15,89.0667,Robi-Airtel,4G,Moderate,6,6
5828,Pabna Sadar,Pabna,6600,24.005,89.25,Robi-Airtel,4G,Moderate,6,7
5829,Santhia,Pabna,6670,24.0583,89.5333,Robi-Airtel,4G,Low,3,5
5830,Sujanagar,Pabna,6660,23.9167,89.4333,Robi-Airtel,4G,Low,3,4.5
5831,Bagha,Rajshahi,6280,24.1917,88.8333,Robi-Airtel,4G,Low,3,4
5832,Bagmara,Rajshahi,6250,24.5639,88.8083,Robi-Airtel,4G,Low,3,4.5
5833,Charghat,Rajshahi,6270,24.2833,88.775,Robi-Airtel,4G,Low,3,5
5834,Durgapur,Rajshahi,6240,24.4556,88.7667,Robi-Airtel,4G,Low,3,4.5
5835,Godagari,Rajshahi,6290,24.4667,88.3306,Robi-Airtel,4G,Low,3,5
5836,Mohanpur,Rajshahi,6220,24.5639,88.65,Robi-Airtel,4G,Low,3,3.5
5837,Paba,Rajshahi,6210,24.4417,88.6278,Robi-Airtel,4G,Moderate,6,5.5
5838,Puthia,Rajshahi,6260,24.375,88.85,Robi-Airtel,4G,Moderate,6,5.5
5839,Tanore,Rajshahi,6230,24.6028,88.5806,Robi-Airtel,4G,Low,3,4
5840,Belkuchi,Sirajganj,6740,24.2917,89.7,Robi-Airtel,4G,Moderate,6,6
5841,Chowhali,Sirajganj,6752,24.2111,89.7208,Robi-Airtel,4G,Not Available,0,0.5
5842,Kamarkhanda,Sirajganj,6730,24.38,89.65,Robi-Airtel,4G,Low,3,4
5843,Kazipur,Sirajganj,6710,24.6417,89.65,Robi-Airtel,4G,Low,3,4
5844,Raiganj,Sirajganj,6721,24.5014,89.5347,Robi-Airtel,4G,Moderate,6,5
5845,Shahzadpur,Sirajganj,6770,24.17,89.58833333,Robi-Airtel,4G,Moderate,6,6
5846,Sirajganj Sadar,Sirajganj,6700,24.45833,89.7,Robi-Airtel,4G,Good,10,7.5
5847,Tarash,Sirajganj,6780,24.4333,89.375,Robi-Airtel,4G,Low,3,4.5
5848,Ullapara,Sirajganj,6760,24.3194,89.5667,Robi-Airtel,4G,Moderate,6,6
5849,Birampur,Dinajpur,5266,25.3783,88.9833,Robi-Airtel,4G,Moderate,6,5.5
5850,Birganj,Dinajpur,5220,26,88.5833,Robi-Airtel,4G,Low,3,5
5851,Birol,Dinajpur,5210,25.6333,88.5333,Robi-Airtel,4G,Low,3,4
5852,Bochaganj,Dinajpur,5216,25.8,88.4611,Robi-Airtel,4G,Low,3,4.5
5853,Chirirbandar,Dinajpur,5240,25.6625,88.7833,Robi-Airtel,4G,Low,3,4.5
5854,Dinajpur Sadar,Dinajpur,5200,25.6333,88.65,Robi-Airtel,4G,Good,10,8
5855,Fulbari,Dinajpur,5260,25.51666667,88.88333333,Robi-Airtel,4G,Low,3,3.5
5856,Ghoraghat,Dinajpur,5291,25.2458,89.2167,Robi-Airtel,4G,Low,3,4.5
5857,Hakimpur,Dinajpur,5270,25.2833,89.0167,Robi-Airtel,4G,Low,3,4
5858,Kaharol,Dinajpur,5226,25.7917,88.6,Robi-Airtel,4G,Low,3,4.5
5859,Khanshama,Dinajpur,5230,25.9278,88.7333,Robi-Airtel,4G,Low,3,4
5860,Nawabganj,Dinajpur,5280,25.4167,89.0833,Robi-Airtel,4G,Low,3,3
5861,Parbatipur,Dinajpur,5250,25.6533,88.9155,Robi-Airtel,4G,Moderate,6,6
5862,Fulchari,Gaibandha,5760,25.1917,89.6167,Robi-Airtel,4G,Low,3,3.5
5863,Gaibandha Sadar,Gaibandha,5700,25.325,89.6278,Robi-Airtel,4G,Good,10,7.5
5864,Gobindaganj,Gaibandha,5740,25.1333,89.3917,Robi-Airtel,4G,Moderate,6,7
5865,Palashbari,Gaibandha,5730,25.2833,89.35,Robi-Airtel,4G,Moderate,6,6
5866,Sadullapur,Gaibandha,5710,25.3833,89.4667,Robi-Airtel,4G,Low,3,3.5
5867,Saghata,Gaibandha,5750,25.1056,89.5861,Robi-Airtel,4G,Low,3,4
5868,Sundarganj,Gaibandha,5720,25.56436222,89.51909,Robi-Airtel,4G,Low,3,3.5
5869,Bhurungamari,Kurigram,5670,26.125,89.6833,Robi-Airtel,4G,Low,3,4.5
5870,Chilmari,Kurigram,5630,25.5667,89.6917,Robi-Airtel,4G,Low,3,4
5871,Fulbari,Kurigram,5680,25.95,89.56666667,Robi-Airtel,4G,Low,3,3.5
5872,Kurigram Sadar,Kurigram,5600,25.8167,89.65,Robi-Airtel,4G,Moderate,6,5.5
5873,Nageswari,Kurigram,5660,25.96,89.74,Robi-Airtel,4G,Low,3,5
5874,Rajarhat,Kurigram,5610,25.8,89.55,Robi-Airtel,4G,Low,3,3
5875,Char Rajibpur,Kurigram,5650,25.4,89.6917,Robi-Airtel,4G,Low,3,4
5876,Rowmari,Kurigram,5640,25.5625,89.85,Robi-Airtel,4G,Very Low,1,2
5877,Ulipur,Kurigram,5620,25.6639,89.6333,Robi-Airtel,4G,Low,3,3.5
5878,Aditmari,Lalmonirhat,5510,25.925,89.35,Robi-Airtel,4G,Low,3,4
5879,Hatibandha,Lalmonirhat,5530,26.1125,89.1333,Robi-Airtel,4G,Low,3,4
5880,Kaliganj,Lalmonirhat,5520,25.9676,89.2068,Robi-Airtel,4G,Low,3,4
5881,Lalmonirhat Sadar,Lalmonirhat,5500,25.915,89.45,Robi-Airtel,4G,Moderate,6,6.5
5882,Patgram,Lalmonirhat,5540,26.35,89.01666667,Robi-Airtel,4G,Low,3,2.5
5883,Dimla,Nilphamari,5350,26.16,89,Robi-Airtel,4G,Low,3,3.5
5884,Domar,Nilphamari,5340,26.1,88.8361,Robi-Airtel,4G,Low,3,3.5
5885,Jaldhaka,Nilphamari,5330,26.03,88.99,Robi-Airtel,4G,Low,3,3.5
5886,Kishoreganj,Nilphamari,5320,25.9111,89.025,Robi-Airtel,4G,Low,3,2.5
5887,Nilphamari Sadar,Nilphamari,5300,25.9417,88.8444,Robi-Airtel,4G,Moderate,6,5.5
5888,Sayedpur,Nilphamari,5310,25.7778,88.8917,Robi-Airtel,4G,Good,10,7
5889,Atwari,Panchagarh,5040,26.3083,88.4583,Robi-Airtel,4G,Low,3,4
5890,Boda,Panchagarh,5010,26.2083,88.5597,Robi-Airtel,4G,Low,3,3
5891,Debiganj,Panchagarh,5020,26.1185,88.7592,Robi-Airtel,4G,Low,3,4.5
5892,Panchagarh Sadar,Panchagarh,5000,26.3347,88.5583,Robi-Airtel,4G,Moderate,6,5.5
5893,Tetulia,Panchagarh,5030,26.48333333,88.35,Robi-Airtel,4G,Low,3,5
5894,Badarganj,Rangpur,5430,25.66666667,89.05,Robi-Airtel,4G,Low,3,4.5
5895,Gangachara,Rangpur,5410,25.85,89.2167,Robi-Airtel,4G,Low,3,4.5
5896,Kaunia,Rangpur,5440,25.7708,89.4167,Robi-Airtel,4G,Low,3,4
5897,Mithapukur,Rangpur,5460,25.5417,89.2833,Robi-Airtel,4G,Moderate,6,5.5
5898,Pirgacha,Rangpur,5450,25.58,89.4,Robi-Airtel,4G,Low,3,5
5899,Pirganj,Rangpur,5470,25.4153,89.3167,Robi-Airtel,4G,Low,3,5
5900,Rangpur Sadar,Rangpur,5400,25.75014,89.23333,Robi-Airtel,4G,Good,10,8.5
5901,Taraganj,Rangpur,5420,25.79,89.04,Robi-Airtel,4G,Moderate,6,6
5902,Baliadangi,Thakurgaon,5140,26.1,88.275,Robi-Airtel,4G,Low,3,3
5903,Haripur,Thakurgaon,5130,25.8083,88.1417,Robi-Airtel,4G,Low,3,3.5
5904,Pirganj,Thakurgaon,5110,25.8542,88.3667,Robi-Airtel,4G,Low,3,4
5905,Ranisankail,Thakurgaon,5120,25.88833333,88.25166667,Robi-Airtel,4G,Low,3,5
5906,Thakurgaon Sadar,Thakurgaon,5100,26.0208,88.4667,Robi-Airtel,4G,Moderate,6,6.5
5907,Ajmiriganj,Habiganj,3360,24.5472,91.25,Robi-Airtel,4G,Low,3,3
5908,Bahubal,Habiganj,3310,24.3556,91.5417,Robi-Airtel,4G,Low,3,5
5909,Baniachong,Habiganj,3350,24.5417,91.3333,Robi-Airtel,4G,Low,3,3.5
5910,Chunarughat,Habiganj,3320,24.2,91.51666667,Robi-Airtel,4G,Low,3,4.5
5911,Habiganj Sadar,Habiganj,3300,24.375,91.4167,Robi-Airtel,4G,Moderate,6,6
5912,Lakhai,Habiganj,3340,24.2889,91.2167,Robi-Airtel,4G,Low,3,4
5913,Madhabpur,Habiganj,3330,24.1028,91.2917,Robi-Airtel,4G,Moderate,6,6
5914,Nabiganj,Habiganj,3370,24.56666667,91.515,Robi-Airtel,4G,Moderate,6,5.5
5915,Sayestaganj,Habiganj,3301,24.2733003,91.4463813,Robi-Airtel,4G,Moderate,6,6.5
5916,Barlekha,Moulvibazar,3250,24.7083,92.2,Robi-Airtel,4G,Low,3,4.5
5917,Juri,Moulvibazar,3251,24.58006,92.164672,Robi-Airtel,4G,Low,3,4
5918,Kamalganj,Moulvibazar,3220,24.3667,91.8667,Robi-Airtel,4G,Low,3,3.5
5919,Kulaura,Moulvibazar,3230,24.86833333,92.05916667,Robi-Airtel,4G,Low,3,5
5920,Moulvibazar Sadar,Moulvibazar,3200,24.4778,91.7667,Robi-Airtel,4G,Moderate,6,6.5
5921,Rajnagar,Moulvibazar,3240,24.51666667,91.86666667,Robi-Airtel,4G,Low,3,4
5922,Sreemangal,Moulvibazar,3210,24.3083,91.7333,Robi-Airtel,4G,Moderate,6,6
5923,Biswamvarpur,Sunamganj,3010,25.1,91.3,Robi-Airtel,4G,Low,3,4.5
5924,Chatak,Sunamganj,3080,25.0417,91.675,Robi-Airtel,4G,Moderate,6,5.5
5925,Dakshin Sunamganj,Sunamganj,3020,24.93951,91.41359,Robi-Airtel,4G,Low,3,4.5
5926,Derai,Sunamganj,3040,24.79,91.35,Robi-Airtel,4G,Low,3,3.5
5927,Dharmapasha,Sunamganj,2450,24.9,91.0167,Robi-Airtel,4G,Low,3,3
5928,Dowarabazar,Sunamganj,3070,25.05,91.5667,Robi-Airtel,4G,Low,3,3.5
5929,Jagannathpur,Sunamganj,3060,24.76666667,91.55,Robi-Airtel,4G,Low,3,3
5930,Jamalganj,Sunamganj,3020,24.9833,91.2333,Robi-Airtel,4G,Low,3,4.5
5931,Sulla,Sunamganj,3050,24.6264,91.25,Robi-Airtel,4G,Low,3,3
5932,Sunamganj Sadar,Sunamganj,3000,25.06666667,91.4,Robi-Airtel,4G,Moderate,6,6.5
5933,Tahirpur,Sunamganj,3030,25.0917,91.175,Robi-Airtel,4G,Low,3,3
5934,Balaganj,Sylhet,3120,24.6667,91.8333,Robi-Airtel,4G,Low,3,3
5935,Beanibazar,Sylhet,3170,24.825,92.1625,Robi-Airtel,4G,Moderate,6,5.5
5936,Biswanath,Sylhet,3130,24.8083,91.7639,Robi-Airtel,4G,Low,3,4.5
5937,Companiganj,Sylhet,3140,25.0791,91.7542,Robi-Airtel,4G,Low,3,5
5938,Dakshin Surma,Sylhet,3107,24.803,91.914,Robi-Airtel,4G,Low,3,4
5939,Fenchuganj,Sylhet,3116,24.7083,91.9403,Robi-Airtel,4G,Moderate,6,5
5940,Golapganj,Sylhet,3160,24.8583,92.0208,Robi-Airtel,4G,Low,3,4.5
5941,Gowainghat,Sylhet,3150,25.08,91.97,Robi-Airtel,4G,Low,3,5
5942,Jointiapur,Sylhet,3156,25.125,92.1167,Robi-Airtel,4G,Low,3,4
5943,Kanaighat,Sylhet,3180,25.0166,92.2472,Robi-Airtel,4G,Low,3,4
5944,Osmaninagar,Sylhet,3122,24.718244,91.74657,Robi-Airtel,4G,Moderate,6,6
5945,Sylhet Sadar,Sylhet,3100,24.8917,91.8833,Robi-Airtel,4G,Good,10,8.5
5946,Zakiganj,Sylhet,3190,24.8778,92.3722,Robi-Airtel,4G,Low,3,4.5
5947,Gournadi,Barishal,8230,22.9736,90.2306,Robi-Airtel,4G,Low,3,5
5948,Kawkhali,Pirojpur,8510,22.625799,88.443123,Robi-Airtel,3G/2G,Low,3,2
5949,Mathbaria,Pirojpur,8560,22.2869,89.9667,Robi-Airtel,3G/2G,Low,3,2.5
5950,Nazirpur,Pirojpur,8540,22.77,89.98,Robi-Airtel,3G/2G,Low,3,2
5951,Nesarabad,Pirojpur,8522,22.7472,90.1036,Robi-Airtel,3G/2G,Low,3,2.5
5952,Pirojpur Sadar,Pirojpur,8500,22.5778,89.99,Robi-Airtel,3G/2G,Moderate,6,5.5
5953,Zianagar,Pirojpur,8502,22.4858,89.9603,Robi-Airtel,3G/2G,Low,3,3.5
5954,Akhaura,Brahmanbaria,3450,23.8833,91.2166,Robi-Airtel,3G/2G,Moderate,6,6
5955,Ashuganj,Brahmanbaria,3402,24.0366,91.005,Robi-Airtel,3G/2G,Moderate,6,6
5956,Brahmanbaria Sadar,Brahmanbaria,3400,23.9528,91.1167,Robi-Airtel,3G/2G,Good,10,8
5957,Bancharampur,Brahmanbaria,3420,23.7778,90.8083,Robi-Airtel,3G/2G,Good,10,7
5958,Bijoynagar,Brahmanbaria,3431,24.0211,91.2797,Robi-Airtel,3G/2G,Low,3,4.5
5959,Kasba,Brahmanbaria,3460,23.7333,91.1667,Robi-Airtel,3G/2G,Low,3,3
5960,Nabinagar,Brahmanbaria,3410,23.8833,90.9833,Robi-Airtel,3G/2G,Low,3,4.5
5961,Nasirnagar,Brahmanbaria,3440,24.1065,91.195,Robi-Airtel,3G/2G,Low,3,5
5962,Sarail,Brahmanbaria,3430,24.09247222,91.11977778,Robi-Airtel,3G/2G,Low,3,3
5963,Alikadam,Bandarban,4650,21.6667,92.3056,Robi-Airtel,3G/2G,Low,3,3.5
5964,Bandarban Sadar,Bandarban,4600,22.2333,92.1917,Robi-Airtel,3G/2G,Low,3,4.5
5965,Lama,Bandarban,4640,21.775,92.2,Robi-Airtel,3G/2G,Low,3,3
5966,Naikhongchhari,Bandarban,4660,21.4167,92.1833,Robi-Airtel,3G/2G,Low,3,3.5
